FID,LE_ID,ENGLISH,COUNTY,GUID,Pop2016,C19_P14_T,P14_100k,P14_100k_T,Ire_IncP14,EventDate
78,13260423,KIMMAGE-RATHMINES LEA-6,DUBLIN,2ae19629-3f59-13a3-e055-000000000001,55861,136,243.5,243.5,279.3,2020/10/19 00:00:00+00
79,13120422,LIMERICK CITY EAST LEA-7,LIMERICK,2ae19629-3f0c-13a3-e055-000000000001,35342,110,311.2,311.2,279.3,2020/10/19 00:00:00+00
80,13210406,THURLES LEA-5,TIPPERARY,2ae19629-3ef4-13a3-e055-000005500001,19382,15,77.4,77.4,279.3,2020/10/19 00:00:00+00
81,13190401,ROSCOMMON LEA-6,ROSCOMMON,2ae19629-3f25-13a3-e055-000000000001,22734,44,193.5,193.5,279.3,2020/10/19 00:00:00+00
82,1380404,KILDARE LEA-5,KILDARE,2ae19629-3f73-13a3-e055-000000000001,25702,32,124.5,124.5,279.3,2020/10/19 00:00:00+00
83,1350402,CARNDONAGH LEA-4,DONEGAL,2ae19629-3f45-13a3-e055-000000000001,16964,57,336,336,279.3,2020/10/19 00:00:00+00
84,1330401,KILLALOE LEA-5,CLARE,2ae19629-3f60-13a3-e055-000000000001,20108,24,119.4,119.4,279.3,2020/10/19 00:00:00+00
85,1340405,BANDON - KINSALE LEA-6,CORK,2ae19629-3f68-13a3-e055-000000000001,37269,68,182.5,182.5,279.3,2020/10/19 00:00:00+00
86,13190400,BOYLE LEA-6,ROSCOMMON,2ae19629-3f24-13a3-e055-000000000001,21831,63,288.6,288.6,279.3,2020/10/19 00:00:00+00
87,13260427,CLONTARF LEA-6,DUBLIN,2ae19629-3f5d-13a3-e055-000000000001,54182,74,136.6,136.6,279.3,2020/10/19 00:00:00+00
88,13220401,PORTLAW-KILMACTHOMAS LEA-5,WATERFORD,2ae19629-3f32-13a3-e055-000000000001,17120,19,111,111,279.3,2020/10/19 00:00:00+00
89,13220402,LISMORE LEA-3,WATERFORD,2ae19629-3ef4-13a3-e055-000005300001,10724,Less than 5 cases,0,Less than 5 cases,279.3,2020/10/19 00:00:00+00
90,1380403,ATHY LEA-5,KILDARE,2ae19629-3f72-13a3-e055-000000000001,26541,33,124.3,124.3,279.3,2020/10/19 00:00:00+00
91,13110401,BALLINAMORE-LEA-6,LEITRIM,2ae19629-3f05-13a3-e055-000000000001,9862,14,142,142,279.3,2020/10/19 00:00:00+00
92,13120420,LIMERICK CITY WEST LEA-7,LIMERICK,2ae19629-3f0a-13a3-e055-000000000001,34896,83,237.8,237.8,279.3,2020/10/19 00:00:00+00
93,13240405,ENNISCORTHY LEA-6,WEXFORD,2ae19629-3ef4-13a3-e055-999550000001,27253,58,212.8,212.8,279.3,2020/10/19 00:00:00+00
